time_ms,I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
0.0,3,7,-3,-1,4,0,-1,3,11,12,1,1
1.0,3,7,-3,-1,4,0,-1,14,10,1,1,1
2.0,3,7,-3,-1,4,0,-1,11,0,4,2,1
3.0,3,7,-2,-1,4,0,-1,3,4,12,2,1
4.0,3,7,-2,-1,4,0,-1,8,11,6,2,0
5.0,3,8,-2,-1,4,0,-1,14,4,1,2,0
6.0,3,8,-2,-1,4,0,-1,5,0,2,2,0
7.0,3,8,-2,-1,4,0,-1,2,10,11,2,0
8.0,3,8,-2,-1,3,0,-1,8,11,12,2,0
9.0,3,8,-2,-1,3,0,-1,7,11,2,2,0
10.0,2,8,-2,-1,3,0,-1,2,11,5,2,0
11.0,2,8,-2,-1,3,0,-1,5,11,12,2,0
12.0,2,8,-2,-1,3,1,-1,8,11,6,2,0
13.0,2,8,-2,-1,3,1,-1,5,11,1,2,0
14.0,2,8,-2,-1,3,1,-1,4,11,10,2,0
15.0,2,8,-2,-1,3,1,-1,3,5,12,2,0
16.0,2,8,-2,-1,3,1,-1,1,3,4,2,0
17.0,2,8,-2,-1,3,1,-1,1,3,2,2,0
18.0,2,8,-1,-1,3,1,-1,1,3,2,2,0
19.0,2,8,-1,-1,3,1,-1,1,3,2,2,0
20.0,2,8,-1,-1,3,1,-1,1,3,2,2,0
21.0,2,8,-1,-1,3,1,-1,1,3,2,2,0
22.0,2,8,-1,-1,3,1,-1,1,3,2,2,0
23.0,2,8,-1,-1,3,1,-1,1,3,2,2,0
24.0,2,9,-1,-1,3,2,-1,1,3,2,2,0
25.0,2,9,-1,-1,3,2,-1,1,3,2,2,0
26.0,2,9,-1,-1,3,2,-1,1,3,2,2,0
27.0,2,9,-1,-1,3,2,-1,0,3,2,2,0
28.0,2,9,-1,-1,3,2,-1,0,3,2,2,0
29.0,2,9,-1,-1,3,2,-1,0,3,2,2,0
30.0,2,9,0,-1,3,2,-1,0,3,2,2,0
31.0,2,9,0,-1,3,2,-1,0,3,2,2,0
32.0,3,9,0,-1,3,2,-1,0,3,2,2,0
33.0,3,9,0,-2,3,2,-1,0,3,2,2,0
34.0,3,9,0,-2,3,2,-1,0,3,2,2,0
35.0,3,9,0,-2,3,2,-1,0,3,2,2,0
36.0,3,9,0,-2,3,2,-1,0,3,2,2,0
37.0,3,9,0,-2,3,2,-1,0,3,2,2,0
38.0,3,9,0,-2,3,2,-1,0,3,2,2,0
39.0,3,10,0,-2,3,2,-1,0,3,2,2,0
40.0,3,10,0,-2,3,2,-1,0,3,2,2,0
41.0,3,10,0,-2,3,2,-1,0,3,2,2,0
42.0,3,10,0,-2,3,3,-1,0,3,2,2,0
43.0,3,10,0,-2,3,3,-1,0,3,2,2,0
44.0,2,9,0,-2,3,3,-1,0,3,2,2,0
45.0,2,9,0,-2,3,3,-1,0,3,2,2,0
46.0,2,9,0,-2,3,3,-1,0,3,2,2,0
47.0,2,9,0,-2,3,3,-1,0,3,2,2,0
48.0,2,9,0,-2,3,3,-1,0,3,2,2,0
49.0,2,9,0,-2,2,3,-1,0,3,2,2,0
50.0,2,9,0,-2,2,3,-1,0,3,2,2,0
51.0,2,9,0,-2,2,3,-1,0,2,2,2,0
52.0,2,9,0,-2,2,3,-1,0,2,2,2,0
53.0,2,9,0,-2,2,3,-1,0,2,2,2,0
54.0,2,9,0,-2,2,3,-1,0,2,2,2,0
55.0,2,9,0,-2,2,3,-1,0,2,2,2,0
56.0,2,9,0,-2,2,3,-1,0,2,2,2,0
57.0,2,9,0,-2,2,3,-1,0,3,2,2,0
58.0,2,9,1,-2,2,3,-1,0,3,2,2,0
59.0,2,9,1,-2,2,3,-1,0,3,2,2,0
60.0,2,9,1,-2,2,3,-1,0,3,2,2,0
61.0,2,9,1,-2,2,3,-1,0,3,2,2,0
62.0,2,9,1,-2,2,3,-1,0,3,2,2,0
63.0,2,9,1,-2,2,3,-1,0,3,2,2,0
64.0,2,9,1,-2,2,3,-1,0,3,2,2,0
65.0,2,9,1,-2,2,3,-1,0,2,2,2,0
66.0,2,9,1,-2,2,3,-1,0,2,2,2,0
67.0,2,9,1,-2,2,3,-1,0,2,2,2,0
68.0,2,9,1,-2,2,3,-1,0,2,2,2,0
69.0,2,9,1,-2,2,3,-1,0,2,2,2,0
70.0,2,9,1,-2,2,3,-1,0,2,2,2,0
71.0,2,9,1,-2,2,3,-1,0,2,2,2,0
72.0,2,9,1,-2,2,3,-1,0,2,2,2,0
73.0,2,9,1,-2,2,3,-1,0,2,2,2,0
74.0,2,9,1,-2,2,3,-1,0,2,2,2,0
75.0,2,9,1,-2,2,3,-1,0,2,2,2,0
76.0,2,9,1,-2,2,3,-1,-1,2,2,2,0
77.0,2,9,0,-2,2,3,-1,-1,2,2,2,0
78.0,2,9,0,-2,2,3,-1,-1,2,2,2,0
79.0,2,9,0,-2,2,3,-1,-1,2,1,2,0
80.0,2,9,0,-2,2,3,-1,-1,2,1,2,0
81.0,2,9,0,-2,2,3,-1,-1,2,1,1,0
82.0,2,9,0,-2,2,3,-1,-1,2,1,1,0
83.0,2,9,0,-2,2,3,-1,-1,2,1,1,0
84.0,2,9,0,-2,2,3,-1,-1,2,1,1,0
85.0,2,9,0,-1,2,3,-1,-1,2,1,1,0
86.0,2,9,0,-1,2,3,-1,-1,2,1,1,0
87.0,2,9,0,-1,2,3,-1,-1,1,1,1,0
88.0,2,9,0,-1,2,3,-1,-1,1,1,1,0
89.0,2,9,0,-1,2,3,-1,-1,1,1,1,0
90.0,2,9,0,-1,2,3,-1,-1,1,1,1,0
91.0,2,9,0,-1,2,3,-1,-1,1,1,1,0
92.0,2,9,0,-1,2,3,-1,-1,1,1,1,0
93.0,2,9,0,-1,2,3,-1,-1,1,1,1,0
94.0,2,9,0,-1,2,3,-1,-1,1,1,1,0
95.0,2,9,0,-2,2,3,-1,-1,1,1,1,0
96.0,2,9,0,-2,2,3,-1,-1,2,1,1,0
97.0,2,9,0,-2,2,3,-1,-1,2,1,1,0
98.0,2,9,0,-2,2,3,-1,-1,2,1,1,0
99.0,2,9,0,-2,2,3,-1,-1,2,1,1,0
100.0,2,9,0,-2,2,3,-1,-1,2,1,1,0
101.0,2,9,0,-2,2,3,-1,-1,2,1,1,0
102.0,2,9,0,-2,2,3,-1,-1,2,1,1,0
103.0,2,9,0,-2,2,3,-1,-1,2,1,1,0
104.0,2,9,0,-2,2,3,-1,-1,2,1,1,0
105.0,2,9,0,-2,2,3,-1,-1,2,1,1,0
106.0,2,9,0,-2,2,3,-1,-1,2,1,1,0
107.0,2,9,0,-2,2,3,-1,-1,1,1,1,0
108.0,2,9,1,-2,2,3,-1,-1,1,1,1,0
109.0,2,9,1,-2,2,3,-1,-1,1,1,1,0
110.0,2,9,1,-1,2,3,-1,-1,1,1,1,0
111.0,2,9,1,-1,2,3,-1,-1,1,1,1,0
112.0,2,9,1,-1,2,3,-1,-1,1,1,1,0
113.0,2,9,1,-1,2,3,-1,-1,1,1,1,0
114.0,2,9,1,-1,2,3,-1,-1,1,1,1,0
115.0,2,9,1,-1,2,3,-1,-1,1,1,1,0
116.0,2,9,1,-1,2,3,-1,-1,0,1,1,0
117.0,2,9,1,-1,2,3,-1,-1,0,1,1,0
118.0,2,9,1,-1,2,3,-1,-1,0,0,1,0
119.0,2,9,1,-1,2,3,-1,-1,0,0,1,0
120.0,2,9,0,-1,2,3,-1,-1,0,0,1,0
121.0,2,9,0,-1,2,3,-1,-1,0,0,1,0
122.0,2,9,0,-1,2,3,-1,-1,0,0,1,0
123.0,2,9,0,-1,2,3,-1,-2,0,0,1,0
124.0,2,9,0,-1,2,3,-1,-2,0,0,1,0
125.0,2,9,0,-1,2,3,-1,-2,0,0,1,0
126.0,2,8,0,-1,2,3,-1,-2,0,0,1,0
127.0,2,8,0,-1,2,3,-1,-2,-1,0,1,0
128.0,2,8,0,-1,2,3,-1,-2,-1,0,1,0
129.0,2,8,0,-1,2,2,-1,-2,-1,0,0,0
130.0,2,8,0,-1,2,2,-1,-2,-1,0,0,0
131.0,2,8,0,-1,2,2,-1,-2,-1,0,0,0
132.0,2,8,0,-1,2,2,-1,-2,-1,0,0,0
133.0,2,8,0,-1,2,2,-1,-2,-1,0,0,0
134.0,2,8,0,-1,2,2,-1,-2,-1,-1,0,0
135.0,2,8,0,-1,2,2,-1,-2,-1,-1,0,0
136.0,2,8,0,-1,2,2,-1,-2,-1,-1,0,0
137.0,2,8,0,-1,2,2,-1,-2,-1,-1,0,0
138.0,2,8,0,-1,2,2,-1,-2,-1,-1,0,0
139.0,2,8,0,-1,2,2,-1,-2,-1,-1,0,0
140.0,2,8,0,-1,2,2,-1,-2,-1,-1,0,0
141.0,2,8,0,-1,2,2,-1,-2,-1,-1,0,0
142.0,2,8,0,-1,2,2,-1,-2,-1,-1,0,0
143.0,2,8,0,-1,2,2,-1,-2,-1,-1,0,0
